Serbia - Belgrade (rsbeg01)	Okay	44.047	44.163	44.422	74.125.136.121
United Kingdom - Glasgow (gbglw01)	Okay	8.536	9.109	11.670	74.125.71.121
United States - San Diego (ussan01)	Okay	32.339	32.395	32.430	74.125.20.121
Sweden - Stockholm (sesto01)	Okay	27.497	27.525	27.554	2a00:1450:400c:c0a::79
United States - San Francisco (ussfo02)	Okay	24.981	25.037	25.104	173.194.79.121
Singapore - Singapore (sgsin03)	Okay	2.129	2.235	2.372	74.125.200.121
United States - Salt Lake City (usslc01)	Okay	34.692	39.498	52.582	74.125.28.121
Saudi Arabia - Riyadh (saruh01)	Okay	93.307	93.415	93.562	74.125.24.121
United States - Austin (usaus02)	Okay	12.994	13.103	13.175	2607:f8b0:4003:c07::79
United States - St. Louis (usstl01)	Okay	36.099	36.175	36.215	74.125.207.121
Finland - Tampere (fitmp02)	Okay	18.627	18.656	18.683	173.194.71.121
Thailand - Bangkok (thbkk02)	Okay	29.776	29.947	30.213	74.125.68.121
Turkey - Istanbul (trist02)	Okay	47.814	54.130	63.520	74.125.136.121
United Kingdom - Manchester (gbmnc01)	Okay	13.663	13.754	13.964	173.194.67.121
Ukraine - Kharkov (uahrk02)	Okay	41.832	42.011	42.246	173.194.71.121
United Kingdom - London (gblon01)	Okay	10.375	10.410	10.437	2a00:1450:400c:c0b::79
Austria - Vienna (atvie01)	Okay	28.631	28.707	28.788	66.102.1.121
Viet Nam - Ho Chi Minh City (vnsgn01)	Okay	64.848	64.978	65.049	74.125.130.121
South Africa - Durban (zadur01)	Okay	176.596	176.713	176.808	74.125.140.121
South Africa - Cape Town (zacpt02)	Okay	182.365	182.515	182.694	66.102.1.121
